year,month,rainfall,date
1906,6,12.9,1906-06-01
1906,7,167.1,1906-07-01
1906,8,0.0,1906-08-01
1906,9,20.7,1906-09-01
1906,10,165.9,1906-10-01
1906,11,298.9,1906-11-01
1906,12,15.9,1906-12-01
1907,1,28.8,1907-01-01
1907,2,20.1,1907-02-01
1907,3,0.4,1907-03-01
1907,4,169.5,1907-04-01
1907,5,79.5,1907-05-01
1907,6,18.2,1907-06-01
1907,7,6.8,1907-07-01
1907,8,2.7,1907-08-01
1907,9,173.3,1907-09-01
1907,10,643.6,1907-10-01
1907,11,114.1,1907-11-01
1907,12,142.5,1907-12-01
1908,3,87.7,1908-03-01
1908,4,31.1,1908-04-01
1908,5,59.5,1908-05-01
1908,6,42.2,1908-06-01
1908,7,70.9,1908-07-01
1908,8,3.0,1908-08-01
1908,9,64.2,1908-09-01
1908,10,102.6,1908-10-01
1908,11,36.0,1908-11-01
1908,12,64.7,1908-12-01
1909,1,26.1,1909-01-01
1909,2,33.9,1909-02-01
1909,3,11.9,1909-03-01
1909,4,7.1,1909-04-01
1909,5,70.4,1909-05-01
1909,6,46.2,1909-06-01
1909,7,4.6,1909-07-01
1909,8,113.1,1909-08-01
1909,9,166.1,1909-09-01
1909,10,119.1,1909-10-01
1909,11,33.0,1909-11-01
1909,12,60.7,1909-12-01
1910,1,40.2,1910-01-01
1910,2,60.6,1910-02-01
1910,3,200.4,1910-03-01
1910,4,183.0,1910-04-01
1910,5,29.4,1910-05-01
1910,6,87.8,1910-06-01
1910,7,11.9,1910-07-01
1910,8,122.2,1910-08-01
1910,9,52.8,1910-09-01
1910,10,99.8,1910-10-01
1910,11,119.5,1910-11-01
1910,12,480.9,1910-12-01
1911,1,33.2,1911-01-01
1911,2,19.7,1911-02-01
1911,3,122.6,1911-03-01
1911,4,35.7,1911-04-01
1911,5,71.0,1911-05-01
1911,6,100.0,1911-06-01
1911,7,18.9,1911-07-01
1911,8,23.2,1911-08-01
1911,9,167.1,1911-09-01
1911,10,360.0,1911-10-01
1911,11,281.1,1911-11-01
1911,12,117.3,1911-12-01
1912,1,122.5,1912-01-01
1912,2,175.6,1912-02-01
1912,3,142.1,1912-03-01
1912,4,105.0,1912-04-01
1912,5,132.7,1912-05-01
1912,6,15.0,1912-06-01
1912,7,8.2,1912-07-01
1912,8,22.8,1912-08-01
1913,5,10.0,1913-05-01
1913,6,59.4,1913-06-01
1913,7,13.5,1913-07-01
1935,1,50.5,1935-01-01
1935,2,60.4,1935-02-01
1935,3,12.6,1935-03-01
1935,4,37.8,1935-04-01
1935,5,98.0,1935-05-01
1935,6,4.6,1935-06-01
1935,7,22.8,1935-07-01
1935,8,249.9,1935-08-01
1935,9,16.4,1935-09-01
1935,10,326.6,1935-10-01
1935,11,209.8,1935-11-01
1935,12,228.0,1935-12-01
1936,1,297.6,1936-01-01
1936,2,117.0,1936-02-01
1936,3,210.8,1936-03-01
1936,4,145.8,1936-04-01
1936,5,101.4,1936-05-01
1936,6,101.6,1936-06-01
1936,7,98.4,1936-07-01
1936,8,17.4,1936-08-01
1936,9,194.0,1936-09-01
1936,10,30.6,1936-10-01
1936,11,144.0,1936-11-01
1936,12,56.8,1936-12-01
