year,month,rainfall,date
1915,12,96.1,1915-12-01
1917,1,192.99999579787254,1917-01-01
1917,2,60.09999966621399,1917-02-01
1917,3,164.40000009536743,1917-03-01
1917,4,111.90000102669,1917-04-01
1917,5,75.80000013113022,1917-05-01
1917,6,2.200000047683716,1917-06-01
1917,7,56.09999942779541,1917-07-01
1917,8,30.399999260902405,1917-08-01
1917,9,68.69999992847443,1917-09-01
1917,10,223.29999727010727,1917-10-01
1917,11,64.4000004529953,1917-11-01
1917,12,70.59999933838844,1917-12-01
1918,1,73.59999972581863,1918-01-01
1918,2,11.299999952316284,1918-02-01
1918,3,62.20000034570694,1918-03-01
1918,4,213.50000025331974,1918-04-01
1918,5,49.900000900030136,1918-05-01
1918,6,12.699999809265137,1918-06-01
1918,7,0.0,1918-07-01
1918,8,7.099999979138374,1918-08-01
1918,9,92.50000089406967,1918-09-01
1918,10,130.2000020518899,1918-10-01
1918,11,61.39999981224537,1918-11-01
1918,12,56.20000001788139,1918-12-01
1919,1,188.59999985992908,1919-01-01
1919,2,43.700000405311584,1919-02-01
1919,3,65.00000055134296,1919-03-01
1919,4,87.39999967813492,1919-04-01
1919,5,70.90000009536743,1919-05-01
1919,6,40.699999645352364,1919-06-01
1919,7,21.499999769032,1919-07-01
1919,8,12.500000193715096,1919-08-01
1919,9,46.700000047683716,1919-09-01
1919,10,150.39999982714653,1919-10-01
1919,11,211.99999982863665,1919-11-01
1919,12,42.90000008046627,1919-12-01
1921,1,120.90000063180923,1921-01-01
1921,2,54.49999866634607,1921-02-01
1921,3,41.300000101327896,1921-03-01
1921,4,100.3999995291233,1921-04-01
1921,5,64.79999903589487,1921-05-01
1921,6,43.999999813735485,1921-06-01
1921,7,63.5,1921-07-01
1921,8,29.300000846385956,1921-08-01
1921,9,62.700000047683716,1921-09-01
1921,10,11.799999952316284,1921-10-01
1921,11,74.70000009983778,1921-11-01
1921,12,34.39999981224537,1921-12-01
1922,1,40.2000002078712,1922-01-01
1922,2,87.60000015795231,1922-02-01
1922,3,84.85000020265579,1922-03-01
1922,4,91.45000115782022,1922-04-01
1922,5,26.950000010430813,1922-05-01
1922,6,60.750000059604645,1922-06-01
1922,7,0.75,1922-07-01
1922,8,27.0,1922-08-01
1922,9,102.00000104308128,1922-09-01
1922,10,239.19999954849482,1922-10-01
1922,11,50.449998900294304,1922-11-01
1922,12,140.8000001385808,1922-12-01
1923,1,45.4999995008111,1923-01-01
1923,2,122.1999985575676,1923-02-01
1923,3,33.04999989271164,1923-03-01
1923,4,115.20000086724758,1923-04-01
1923,5,14.499999724328518,1923-05-01
1923,6,54.299998696893454,1923-06-01
1923,7,0.15000000223517418,1923-07-01
1923,8,34.29999923706055,1923-08-01
1923,9,73.79999923706055,1923-09-01
1923,10,30.700000159442425,1923-10-01
1923,11,140.39999954774976,1923-11-01
1923,12,92.90000003576279,1923-12-01
1924,1,93.65000133216381,1924-01-01
1924,2,93.99999999254942,1924-02-01
1924,3,86.30000001937151,1924-03-01
1924,4,90.15000056102872,1924-04-01
1924,5,39.600000001490116,1924-05-01
1924,6,87.34999960660934,1924-06-01
1924,7,9.499999970197678,1924-07-01
1924,8,27.749999690800905,1924-08-01
1924,9,53.94999945163727,1924-09-01
1924,10,190.80000204592943,1924-10-01
1924,11,4.4000000432133675,1924-11-01
1924,12,74.40000119060278,1924-12-01
1925,1,79.45000004768372,1925-01-01
1925,2,144.0000006109476,1925-02-01
1925,3,69.05000042915344,1925-03-01
