year,month,rainfall,date
1945,11,31.8,1945-11-01
1945,12,115.1,1945-12-01
1946,1,51.9,1946-01-01
1946,2,7.0,1946-02-01
1946,3,162.6,1946-03-01
1946,4,55.8,1946-04-01
1946,5,167.0,1946-05-01
1946,6,46.4,1946-06-01
1946,7,24.2,1946-07-01
1946,8,19.8,1946-08-01
1946,9,16.6,1946-09-01
1946,10,24.6,1946-10-01
1946,11,90.4,1946-11-01
1946,12,41.0,1946-12-01
1947,1,84.6,1947-01-01
1947,2,356.9,1947-02-01
1947,3,184.0,1947-03-01
1947,4,53.7,1947-04-01
1947,5,82.9,1947-05-01
1947,6,15.6,1947-06-01
1947,7,1.6,1947-07-01
1947,8,23.0,1947-08-01
1947,9,245.0,1947-09-01
1947,10,162.0,1947-10-01
1947,11,71.9,1947-11-01
1947,12,128.7,1947-12-01
1948,1,240.3,1948-01-01
1948,2,23.1,1948-02-01
1948,3,0.0,1948-03-01
1948,4,78.6,1948-04-01
1948,5,102.8,1948-05-01
1948,6,34.7,1948-06-01
1948,7,52.2,1948-07-01
1948,8,50.0,1948-08-01
1948,9,131.4,1948-09-01
1948,10,239.5,1948-10-01
1948,11,72.6,1948-11-01
1948,12,137.0,1948-12-01
1949,1,108.0,1949-01-01
1949,2,11.6,1949-02-01
1949,3,152.0,1949-03-01
1949,4,55.2,1949-04-01
1949,5,122.6,1949-05-01
1949,6,123.8,1949-06-01
1949,7,2.6,1949-07-01
1949,8,19.0,1949-08-01
1949,9,149.8,1949-09-01
1949,10,393.4,1949-10-01
1949,11,465.4,1949-11-01
1949,12,101.2,1949-12-01
1950,1,30.0,1950-01-01
1950,2,221.6,1950-02-01
1950,3,59.6,1950-03-01
1950,4,166.8,1950-04-01
1950,5,43.0,1950-05-01
1950,6,67.0,1950-06-01
1950,7,0.0,1950-07-01
1950,8,117.8,1950-08-01
1950,9,114.6,1950-09-01
1950,10,138.4,1950-10-01
1950,11,190.2,1950-11-01
1950,12,199.4,1950-12-01
1951,1,265.3,1951-01-01
1951,2,373.4,1951-02-01
1951,3,197.25,1951-03-01
1951,4,40.5,1951-04-01
1951,5,122.7,1951-05-01
1951,6,28.9,1951-06-01
1951,7,14.5,1951-07-01
1951,8,40.8,1951-08-01
1951,9,60.6,1951-09-01
1951,10,143.75,1951-10-01
1951,11,189.8,1951-11-01
1951,12,179.5,1951-12-01
1952,1,125.6,1952-01-01
1952,2,75.65,1952-02-01
1952,3,40.599999999999994,1952-03-01
1952,4,100.8,1952-04-01
1952,5,74.4,1952-05-01
1952,6,22.8,1952-06-01
1952,7,119.6,1952-07-01
1952,8,261.85,1952-08-01
1952,9,199.75,1952-09-01
1952,10,274.7,1952-10-01
1952,11,261.7,1952-11-01
1952,12,229.45,1952-12-01
1953,1,31.15,1953-01-01
1953,2,46.85,1953-02-01
1953,3,18.2,1953-03-01
1953,4,80.4,1953-04-01
1953,5,62.2,1953-05-01
1953,6,73.2,1953-06-01
1953,7,62.6,1953-07-01
1953,8,24.6,1953-08-01
1953,9,97.2,1953-09-01
1953,10,318.54999999999995,1953-10-01
1953,11,35.9,1953-11-01
1953,12,181.5,1953-12-01
1954,1,96.0,1954-01-01
1954,2,111.1,1954-02-01
1954,3,114.25,1954-03-01
1954,4,163.45,1954-04-01
1954,5,112.5,1954-05-01
1954,6,33.05,1954-06-01
1954,7,56.2,1954-07-01
1954,8,115.4,1954-08-01
1954,9,49.4,1954-09-01
1954,10,183.45,1954-10-01
1954,11,227.4,1954-11-01
1954,12,175.5,1954-12-01
1955,1,139.2,1955-01-01
1955,2,235.8,1955-02-01
