year,month,pioggia,data
1871,8,21.4,1871-08-01
1871,9,96.5,1871-09-01
1871,10,24.6,1871-10-01
1871,11,377.9,1871-11-01
1871,12,77.0,1871-12-01
1872,1,288.3,1872-01-01
1872,2,119.1,1872-02-01
1872,3,126.5,1872-03-01
1872,4,85.6,1872-04-01
1872,5,80.8,1872-05-01
1872,6,36.2,1872-06-01
1872,7,71.2,1872-07-01
1872,8,68.3,1872-08-01
1872,9,28.2,1872-09-01
1872,10,775.9,1872-10-01
1872,11,426.3,1872-11-01
1872,12,645.8,1872-12-01
1873,1,89.7,1873-01-01
1873,2,121.2,1873-02-01
1873,3,72.5,1873-03-01
1873,4,199.6,1873-04-01
1873,5,39.3,1873-05-01
1873,6,42.2,1873-06-01
1873,7,1.9,1873-07-01
1873,8,7.7,1873-08-01
1873,9,36.4,1873-09-01
1873,10,315.6,1873-10-01
1873,11,193.4,1873-11-01
1873,12,7.8,1873-12-01
1874,1,81.5,1874-01-01
1874,2,260.5,1874-02-01
1874,3,61.3,1874-03-01
1874,4,175.4,1874-04-01
1874,5,63.4,1874-05-01
1874,6,40.8,1874-06-01
1874,7,30.9,1874-07-01
1874,8,28.5,1874-08-01
1874,9,79.5,1874-09-01
1874,10,277.0,1874-10-01
1874,11,25.6,1874-11-01
1874,12,113.7,1874-12-01
1875,1,108.5,1875-01-01
1875,2,132.3,1875-02-01
1875,3,37.5,1875-03-01
1875,4,80.7,1875-04-01
1875,5,30.8,1875-05-01
1875,6,160.8,1875-06-01
1875,7,169.5,1875-07-01
1875,8,49.0,1875-08-01
1875,9,40.5,1875-09-01
1875,10,340.6,1875-10-01
1875,11,67.6,1875-11-01
1875,12,57.8,1875-12-01
1876,1,103.3,1876-01-01
1876,2,20.8,1876-02-01
1876,3,228.6,1876-03-01
1876,4,242.9,1876-04-01
1876,5,37.6,1876-05-01
1876,6,189.7,1876-06-01
1876,7,21.3,1876-07-01
1876,8,97.2,1876-08-01
1876,9,53.4,1876-09-01
1876,10,71.6,1876-10-01
1876,11,292.9,1876-11-01
1876,12,231.3,1876-12-01
1877,1,80.6,1877-01-01
1877,2,17.7,1877-02-01
1877,3,236.5,1877-03-01
1877,4,146.0,1877-04-01
1877,5,156.5,1877-05-01
1877,6,30.8,1877-06-01
1877,7,31.5,1877-07-01
1877,8,0.1,1877-08-01
1877,9,48.9,1877-09-01
1877,10,41.7,1877-10-01
1877,11,239.6,1877-11-01
1877,12,50.0,1877-12-01
1878,1,17.6,1878-01-01
1878,2,4.4,1878-02-01
1878,3,129.7,1878-03-01
1878,4,99.4,1878-04-01
1878,5,45.0,1878-05-01
1878,6,100.8,1878-06-01
1878,7,38.8,1878-07-01
1878,8,47.7,1878-08-01
1878,9,11.5,1878-09-01
1878,10,200.1,1878-10-01
1878,11,265.0,1878-11-01
1878,12,140.3,1878-12-01
1879,1,75.9,1879-01-01
1879,2,176.8,1879-02-01
1879,3,173.7,1879-03-01
1879,4,244.5,1879-04-01
1879,5,198.7,1879-05-01
1879,6,5.4,1879-06-01
1879,7,2.5,1879-07-01
1879,8,3.0,1879-08-01
1879,9,160.3,1879-09-01
1879,10,4.6,1879-10-01
1879,11,185.7,1879-11-01
1879,12,71.9,1879-12-01
1880,1,33.6,1880-01-01
1880,2,165.7,1880-02-01
1880,3,45.0,1880-03-01
1880,4,103.7,1880-04-01
1880,5,59.8,1880-05-01
1880,6,131.6,1880-06-01
1880,7,46.2,1880-07-01
1880,8,106.1,1880-08-01
1880,9,204.3,1880-09-01
1880,10,77.4,1880-10-01
1880,11,167.3,1880-11-01
1880,12,33.9,1880-12-01
1881,1,131.7,1881-01-01
1881,2,49.0,1881-02-01
1881,3,90.0,1881-03-01
1881,4,80.0,1881-04-01
1881,5,91.9,1881-05-01
1881,6,45.4,1881-06-01
1881,7,0.4,1881-07-01
1881,8,121.3,1881-08-01
1881,9,93.7,1881-09-01
1881,10,158.2,1881-10-01
1881,11,359.1,1881-11-01
1881,12,72.8,1881-12-01
1882,1,63.9,1882-01-01
1882,2,44.8,1882-02-01
1882,3,68.1,1882-03-01
1882,4,57.9,1882-04-01
1882,5,36.3,1882-05-01
1882,6,12.2,1882-06-01
1882,7,53.4,1882-07-01
1882,8,28.8,1882-08-01
1882,9,440.3,1882-09-01
1882,10,404.5,1882-10-01
1882,11,64.9,1882-11-01
1882,12,172.3,1882-12-01
1883,1,220.8,1883-01-01
1883,2,128.0,1883-02-01
1883,3,168.6,1883-03-01
1883,4,205.1,1883-04-01
1883,5,96.1,1883-05-01
1883,6,75.7,1883-06-01
1883,7,13.5,1883-07-01
1883,8,32.4,1883-08-01
1883,9,97.9,1883-09-01
1883,10,70.1,1883-10-01
1883,11,145.2,1883-11-01
1883,12,41.7,1883-12-01
1884,1,19.3,1884-01-01
1884,2,102.7,1884-02-01
1884,3,31.4,1884-03-01
1884,4,123.6,1884-04-01
1884,5,118.9,1884-05-01
1884,6,89.9,1884-06-01
1884,7,67.8,1884-07-01
1884,8,26.1,1884-08-01
1884,9,193.3,1884-09-01
1884,10,71.8,1884-10-01
1884,11,14.7,1884-11-01
1884,12,55.1,1884-12-01
1885,1,122.8,1885-01-01
1885,2,254.5,1885-02-01
1885,3,89.8,1885-03-01
1885,4,130.1,1885-04-01
1885,5,29.4,1885-05-01
1885,6,61.2,1885-06-01
1885,7,18.3,1885-07-01
1885,8,81.1,1885-08-01
1885,9,164.5,1885-09-01
1885,10,183.0,1885-10-01
1885,11,150.1,1885-11-01
1885,12,21.7,1885-12-01
1886,1,146.6,1886-01-01
1886,2,6.4,1886-02-01
1886,3,75.2,1886-03-01
1886,4,40.5,1886-04-01
1886,5,84.7,1886-05-01
1886,6,235.5,1886-06-01
1886,7,5.6,1886-07-01
1886,8,86.7,1886-08-01
1886,9,19.8,1886-09-01
1886,10,360.8,1886-10-01
1886,11,264.0,1886-11-01
1886,12,188.0,1886-12-01
1887,1,157.9,1887-01-01
1887,2,17.5,1887-02-01
1887,3,46.9,1887-03-01
1887,4,96.7,1887-04-01
1887,5,107.4,1887-05-01
1887,6,162.4,1887-06-01
1887,7,11.2,1887-07-01
1887,8,2.2,1887-08-01
1887,9,82.7,1887-09-01
1887,10,190.4,1887-10-01
1887,11,426.1,1887-11-01
1887,12,98.7,1887-12-01
1888,1,13.9,1888-01-01
1888,2,207.6,1888-02-01
1888,3,141.3,1888-03-01
1888,4,64.2,1888-04-01
1888,5,52.7,1888-05-01
1888,6,101.8,1888-06-01
1888,7,64.6,1888-07-01
1888,8,16.0,1888-08-01
1888,9,118.3,1888-09-01
1888,10,31.7,1888-10-01
1888,11,241.0,1888-11-01
1888,12,369.8,1888-12-01
1889,1,59.9,1889-01-01
1889,2,13.9,1889-02-01
1889,3,186.5,1889-03-01
1889,4,254.6,1889-04-01
1889,5,80.9,1889-05-01
1889,6,203.1,1889-06-01
1889,7,10.5,1889-07-01
1889,8,8.0,1889-08-01
1889,9,40.8,1889-09-01
1889,10,302.3,1889-10-01
1889,11,117.6,1889-11-01
1889,12,89.0,1889-12-01
1890,1,122.8,1890-01-01
1890,2,38.9,1890-02-01
1890,3,190.9,1890-03-01
1890,4,191.5,1890-04-01
1890,5,95.9,1890-05-01
1890,6,7.5,1890-06-01
1890,7,22.0,1890-07-01
1890,8,36.8,1890-08-01
1890,9,145.6,1890-09-01
1890,10,8.9,1890-10-01
1890,11,103.3,1890-11-01
1890,12,93.2,1890-12-01
1891,1,11.2,1891-01-01
1891,2,37.5,1891-02-01
1891,3,199.5,1891-03-01
1891,4,121.5,1891-04-01
1891,5,149.4,1891-05-01
1891,6,16.0,1891-06-01
1891,7,40.1,1891-07-01
1891,8,12.8,1891-08-01
1891,9,57.5,1891-09-01
1891,10,284.6,1891-10-01
1891,11,183.6,1891-11-01
1891,12,115.6,1891-12-01
1892,1,90.3,1892-01-01
1892,2,325.6,1892-02-01
1892,3,208.0,1892-03-01
1892,4,31.7,1892-04-01
1892,5,108.3,1892-05-01
1892,6,59.9,1892-06-01
1892,7,58.7,1892-07-01
1892,8,54.5,1892-08-01
1892,9,48.0,1892-09-01
1892,10,358.3,1892-10-01
1892,11,100.0,1892-11-01
1892,12,2.2,1892-12-01
1893,1,41.5,1893-01-01
1893,2,282.0,1893-02-01
1893,3,21.3,1893-03-01
1893,4,31.2,1893-04-01
1893,5,117.6,1893-05-01
1893,6,65.2,1893-06-01
1893,7,151.7,1893-07-01
1893,8,81.1,1893-08-01
1893,9,194.9,1893-09-01
1893,10,28.9,1893-10-01
1893,11,110.4,1893-11-01
1893,12,219.8,1893-12-01
1894,1,161.2,1894-01-01
1894,2,8.6,1894-02-01
1894,3,41.2,1894-03-01
1894,4,59.4,1894-04-01
1894,5,122.0,1894-05-01
1894,6,29.4,1894-06-01
1894,7,8.4,1894-07-01
1894,8,0.7,1894-08-01
1894,9,13.4,1894-09-01
1894,10,143.6,1894-10-01
1894,11,281.7,1894-11-01
1894,12,1.0,1894-12-01
1895,1,235.7,1895-01-01
1895,2,72.6,1895-02-01
1895,3,118.5,1895-03-01
1895,4,136.2,1895-04-01
1895,5,61.9,1895-05-01
1895,6,94.8,1895-06-01
1895,7,48.5,1895-07-01
1895,8,4.8,1895-08-01
1895,9,4.9,1895-09-01
1895,10,229.6,1895-10-01
1895,11,69.9,1895-11-01
1895,12,163.9,1895-12-01
1896,1,13.5,1896-01-01
1896,2,1.5,1896-02-01
1896,3,18.3,1896-03-01
1896,4,16.5,1896-04-01
1896,5,75.7,1896-05-01
1896,6,244.9,1896-06-01
1896,7,77.6,1896-07-01
1896,8,179.7,1896-08-01
1896,9,30.2,1896-09-01
1896,10,357.8,1896-10-01
1896,11,147.3,1896-11-01
1896,12,254.2,1896-12-01
1897,1,276.7,1897-01-01
1897,2,12.7,1897-02-01
1897,3,46.3,1897-03-01
1897,4,25.6,1897-04-01
1897,5,74.6,1897-05-01
1897,6,7.4,1897-06-01
1897,7,92.6,1897-07-01
1897,8,45.0,1897-08-01
1897,9,121.2,1897-09-01
1897,10,141.9,1897-10-01
1897,11,118.4,1897-11-01
1897,12,205.0,1897-12-01
1898,1,170.7,1898-01-01
1898,2,61.5,1898-02-01
1898,3,137.5,1898-03-01
1898,4,252.7,1898-04-01
1898,5,112.8,1898-05-01
1898,6,59.0,1898-06-01
1898,7,54.0,1898-07-01
1898,8,12.8,1898-08-01
1898,9,84.2,1898-09-01
1898,10,224.3,1898-10-01
1898,11,183.8,1898-11-01
1898,12,35.3,1898-12-01
1899,1,253.3,1899-01-01
1899,2,60.7,1899-02-01
1899,3,80.3,1899-03-01
1899,4,93.4,1899-04-01
1899,5,33.6,1899-05-01
1899,6,23.3,1899-06-01
1899,7,88.4,1899-07-01
1899,8,36.6,1899-08-01
1899,9,91.4,1899-09-01
1899,10,198.0,1899-10-01
1899,11,103.2,1899-11-01
1899,12,99.9,1899-12-01
1900,1,111.6,1900-01-01
1900,2,146.9,1900-02-01
1900,3,233.8,1900-03-01
1900,4,50.0,1900-04-01
1900,5,101.1,1900-05-01
1900,6,40.8,1900-06-01
1900,7,35.0,1900-07-01
1900,8,86.0,1900-08-01
1900,9,164.0,1900-09-01
1900,10,74.3,1900-10-01
1900,11,474.0,1900-11-01
1900,12,77.2,1900-12-01
1901,1,6.3,1901-01-01
1901,2,85.9,1901-02-01
1901,3,394.0,1901-03-01
1901,4,154.6,1901-04-01
1901,5,106.1,1901-05-01
1901,6,52.7,1901-06-01
1901,7,210.5,1901-07-01
1901,8,38.0,1901-08-01
1901,9,282.5,1901-09-01
1901,10,192.4,1901-10-01
1901,11,86.9,1901-11-01
1901,12,294.1,1901-12-01
1902,1,63.4,1902-01-01
1902,2,238.8,1902-02-01
1902,3,52.1,1902-03-01
1902,4,144.5,1902-04-01
1902,5,119.3,1902-05-01
1902,6,47.6,1902-06-01
1902,7,2.1,1902-07-01
1902,8,24.2,1902-08-01
1902,9,30.0,1902-09-01
1902,10,207.5,1902-10-01
1902,11,422.0,1902-11-01
1902,12,63.8,1902-12-01
1903,1,205.2,1903-01-01
1903,2,107.0,1903-02-01
1903,3,37.7,1903-03-01
1903,4,207.0,1903-04-01
1903,5,121.0,1903-05-01
1903,6,249.8,1903-06-01
1903,7,58.0,1903-07-01
1903,8,9.6,1903-08-01
1903,9,106.0,1903-09-01
1903,10,378.0,1903-10-01
1903,11,149.3,1903-11-01
1903,12,236.7,1903-12-01
1904,1,43.7,1904-01-01
1904,2,188.4,1904-02-01
1904,3,181.4,1904-03-01
1904,4,34.7,1904-04-01
1904,5,4.1,1904-05-01
1904,6,31.1,1904-06-01
1904,7,32.7,1904-07-01
1904,8,68.2,1904-08-01
1904,9,191.7,1904-09-01
1904,10,20.2,1904-10-01
1904,11,66.3,1904-11-01
1904,12,107.4,1904-12-01
1905,1,24.9,1905-01-01
1905,2,80.1,1905-02-01
1905,3,167.2,1905-03-01
1905,4,169.8,1905-04-01
1905,5,189.0,1905-05-01
1905,6,180.0,1905-06-01
1905,7,87.5,1905-07-01
1905,8,110.5,1905-08-01
