year,month,rainfall,date
1876,6,79.6,1876-06-01
1876,7,17.3,1876-07-01
1876,8,104.9,1876-08-01
1876,9,50.6,1876-09-01
1876,10,24.6,1876-10-01
1876,11,55.0,1876-11-01
1876,12,152.4,1876-12-01
1877,1,20.9,1877-01-01
1877,2,24.4,1877-02-01
1877,3,112.6,1877-03-01
1877,4,115.8,1877-04-01
1877,5,83.6,1877-05-01
1877,6,40.3,1877-06-01
1877,7,5.2,1877-07-01
1877,8,6.7,1877-08-01
1877,9,78.7,1877-09-01
1877,10,16.3,1877-10-01
1877,11,162.6,1877-11-01
1877,12,79.0,1877-12-01
1878,1,56.5,1878-01-01
1878,2,12.5,1878-02-01
1878,3,53.2,1878-03-01
1878,4,88.4,1878-04-01
1878,5,35.8,1878-05-01
1878,6,60.4,1878-06-01
1878,7,21.5,1878-07-01
1878,8,23.3,1878-08-01
1878,9,80.8,1878-09-01
1878,10,194.2,1878-10-01
1878,11,183.1,1878-11-01
1878,12,139.4,1878-12-01
1879,1,27.0,1879-01-01
1879,2,136.2,1879-02-01
1879,3,62.7,1879-03-01
1879,4,202.7,1879-04-01
1879,5,105.8,1879-05-01
1879,6,7.0,1879-06-01
1879,7,11.6,1879-07-01
1879,8,1.8,1879-08-01
1879,9,43.7,1879-09-01
1879,10,50.3,1879-10-01
1879,11,39.6,1879-11-01
1879,12,23.6,1879-12-01
1880,1,5.9,1880-01-01
1880,2,47.4,1880-02-01
1880,3,19.6,1880-03-01
1880,4,95.3,1880-04-01
1880,5,158.2,1880-05-01
1880,6,39.0,1880-06-01
1880,7,0.0,1880-07-01
1880,8,47.4,1880-08-01
1880,9,92.2,1880-09-01
1880,10,53.7,1880-10-01
1880,11,180.4,1880-11-01
1880,12,36.9,1880-12-01
1881,1,168.6,1881-01-01
1881,2,5.2,1881-02-01
1881,3,60.8,1881-03-01
1881,4,81.1,1881-04-01
1881,5,54.6,1881-05-01
1881,6,31.3,1881-06-01
1881,7,0.0,1881-07-01
1881,8,31.0,1881-08-01
1881,9,97.9,1881-09-01
1881,10,122.3,1881-10-01
1881,11,8.0,1881-11-01
1881,12,60.8,1881-12-01
1882,1,29.6,1882-01-01
1882,2,17.8,1882-02-01
1882,3,78.9,1882-03-01
1882,4,82.0,1882-04-01
1882,5,24.6,1882-05-01
1882,6,14.3,1882-06-01
1882,7,33.5,1882-07-01
1882,8,87.4,1882-08-01
1882,9,256.8,1882-09-01
1882,10,230.9,1882-10-01
1882,11,57.0,1882-11-01
1882,12,106.4,1882-12-01
1883,1,64.2,1883-01-01
1883,2,33.9,1883-02-01
1883,3,109.0,1883-03-01
1883,4,50.5,1883-04-01
1883,5,58.7,1883-05-01
1883,6,85.4,1883-06-01
1883,7,4.3,1883-07-01
1883,8,25.2,1883-08-01
1883,9,36.1,1883-09-01
1883,10,42.0,1883-10-01
1883,11,69.6,1883-11-01
1883,12,16.8,1883-12-01
1884,1,56.2,1884-01-01
1884,2,3.3,1884-02-01
1884,3,22.4,1884-03-01
1884,4,95.4,1884-04-01
1884,5,44.6,1884-05-01
1884,6,98.1,1884-06-01
1884,7,14.0,1884-07-01
1884,8,99.3,1884-08-01
1884,9,48.4,1884-09-01
1884,10,23.9,1884-10-01
1884,11,26.5,1884-11-01
1884,12,44.2,1884-12-01
1885,1,75.1,1885-01-01
1885,2,40.5,1885-02-01
1885,3,52.0,1885-03-01
1885,4,65.0,1885-04-01
1885,5,85.0,1885-05-01
1885,6,23.0,1885-06-01
1885,7,52.8,1885-07-01
1885,8,91.2,1885-08-01
1885,9,140.2,1885-09-01
1885,10,99.0,1885-10-01
1885,11,88.2,1885-11-01
1885,12,25.4,1885-12-01
1886,1,82.3,1886-01-01
1886,2,26.4,1886-02-01
1886,3,23.7,1886-03-01
1886,4,69.7,1886-04-01
1886,5,66.4,1886-05-01
1886,6,130.8,1886-06-01
1886,7,4.3,1886-07-01
1886,8,99.3,1886-08-01
1886,9,24.9,1886-09-01
1886,10,92.7,1886-10-01
1886,11,103.9,1886-11-01
1886,12,124.3,1886-12-01
1887,1,50.0,1887-01-01
1887,2,20.4,1887-02-01
1887,3,63.7,1887-03-01
1887,4,48.0,1887-04-01
1887,5,95.7,1887-05-01
1887,6,78.6,1887-06-01
1887,7,5.0,1887-07-01
1887,8,16.6,1887-08-01
1887,9,43.3,1887-09-01
1887,10,145.5,1887-10-01
1887,11,211.4,1887-11-01
1887,12,167.8,1887-12-01
1888,1,4.4,1888-01-01
1888,2,126.8,1888-02-01
1888,3,142.9,1888-03-01
1888,4,74.9,1888-04-01
1888,5,78.7,1888-05-01
1888,6,44.8,1888-06-01
1888,7,27.3,1888-07-01
1888,8,1.8,1888-08-01
1888,9,43.6,1888-09-01
1888,10,119.2,1888-10-01
1888,11,68.0,1888-11-01
1888,12,44.1,1888-12-01
1889,1,29.5,1889-01-01
1889,2,61.1,1889-02-01
1889,3,76.3,1889-03-01
1889,4,72.4,1889-04-01
1889,5,44.7,1889-05-01
1889,6,64.0,1889-06-01
1889,7,26.7,1889-07-01
1889,8,29.0,1889-08-01
1889,9,23.1,1889-09-01
1889,10,161.7,1889-10-01
1889,11,88.9,1889-11-01
1889,12,31.0,1889-12-01
1890,1,38.2,1890-01-01
1890,2,14.3,1890-02-01
1890,3,54.0,1890-03-01
1890,4,77.1,1890-04-01
1890,5,57.1,1890-05-01
1890,6,41.4,1890-06-01
1890,7,58.1,1890-07-01
1890,8,16.3,1890-08-01
1890,9,66.2,1890-09-01
1890,10,74.6,1890-10-01
1890,11,117.0,1890-11-01
1890,12,44.0,1890-12-01
1891,1,28.2,1891-01-01
1891,2,2.0,1891-02-01
1891,3,97.4,1891-03-01
1891,4,21.9,1891-04-01
1891,5,78.6,1891-05-01
1891,6,83.8,1891-06-01
1891,7,56.3,1891-07-01
1891,8,9.9,1891-08-01
1891,9,63.1,1891-09-01
1891,10,97.2,1891-10-01
1891,11,92.5,1891-11-01
1891,12,60.2,1891-12-01
1892,1,109.6,1892-01-01
1892,2,80.9,1892-02-01
1892,3,147.9,1892-03-01
1892,4,107.9,1892-04-01
1892,5,48.3,1892-05-01
1892,6,27.5,1892-06-01
1892,7,11.9,1892-07-01
1892,8,57.0,1892-08-01
1892,9,57.4,1892-09-01
1892,10,138.8,1892-10-01
1892,11,105.9,1892-11-01
1892,12,101.7,1892-12-01
1893,1,11.5,1893-01-01
1893,2,89.6,1893-02-01
1893,3,3.1,1893-03-01
1893,4,31.9,1893-04-01
1893,5,85.5,1893-05-01
1893,6,42.0,1893-06-01
1893,7,80.1,1893-07-01
1893,8,21.3,1893-08-01
1893,9,105.8,1893-09-01
1893,10,57.1,1893-10-01
1893,11,225.2,1893-11-01
1893,12,29.0,1893-12-01
1894,1,29.6,1894-01-01
1894,2,7.2,1894-02-01
1894,3,20.7,1894-03-01
1894,4,94.7,1894-04-01
1894,5,59.2,1894-05-01
1894,6,20.3,1894-06-01
1894,7,9.6,1894-07-01
1894,8,0.3,1894-08-01
1894,9,60.6,1894-09-01
1894,10,42.5,1894-10-01
1894,11,39.3,1894-11-01
1894,12,20.1,1894-12-01
1895,1,104.8,1895-01-01
1895,2,112.4,1895-02-01
1895,3,70.4,1895-03-01
1895,4,108.0,1895-04-01
1895,5,111.0,1895-05-01
1895,6,85.4,1895-06-01
1895,7,13.1,1895-07-01
1895,8,5.1,1895-08-01
1895,9,2.2,1895-09-01
1895,10,158.0,1895-10-01
1895,11,34.4,1895-11-01
1895,12,172.1,1895-12-01
1896,1,11.4,1896-01-01
1896,2,17.0,1896-02-01
1896,3,39.4,1896-03-01
1896,4,24.1,1896-04-01
1896,5,123.6,1896-05-01
1896,6,51.9,1896-06-01
1896,7,45.7,1896-07-01
1896,8,154.6,1896-08-01
1896,9,116.8,1896-09-01
1896,10,142.4,1896-10-01
1896,11,134.1,1896-11-01
1896,12,143.2,1896-12-01
1897,1,79.0,1897-01-01
1897,2,18.4,1897-02-01
1897,3,74.2,1897-03-01
1897,4,62.6,1897-04-01
1897,5,60.9,1897-05-01
1897,6,13.2,1897-06-01
1897,7,87.3,1897-07-01
1897,8,95.3,1897-08-01
1897,9,93.0,1897-09-01
1897,10,103.0,1897-10-01
1897,11,45.4,1897-11-01
1897,12,53.5,1897-12-01
1898,1,7.7,1898-01-01
1898,2,102.5,1898-02-01
1898,3,120.3,1898-03-01
1898,4,160.9,1898-04-01
1898,5,168.6,1898-05-01
1898,6,62.4,1898-06-01
1898,7,151.1,1898-07-01
1898,8,49.5,1898-08-01
1898,9,54.9,1898-09-01
1898,10,73.4,1898-10-01
1898,11,137.8,1898-11-01
1898,12,49.5,1898-12-01
1899,1,54.5,1899-01-01
1899,2,25.0,1899-02-01
1899,3,22.4,1899-03-01
1899,4,163.9,1899-04-01
1899,5,40.7,1899-05-01
1899,6,58.6,1899-06-01
1899,7,85.4,1899-07-01
1899,8,10.7,1899-08-01
1899,9,119.6,1899-09-01
1899,10,127.9,1899-10-01
1899,11,42.1,1899-11-01
1899,12,101.6,1899-12-01
1900,1,114.4,1900-01-01
1900,2,93.6,1900-02-01
1900,3,101.6,1900-03-01
1900,4,46.9,1900-04-01
1900,5,198.2,1900-05-01
1900,6,30.3,1900-06-01
1900,7,68.5,1900-07-01
1900,8,35.0,1900-08-01
1900,9,83.9,1900-09-01
1900,10,54.3,1900-10-01
1900,11,168.4,1900-11-01
1900,12,15.9,1900-12-01
1901,1,12.0,1901-01-01
1901,2,67.1,1901-02-01
1901,3,167.2,1901-03-01
1901,4,53.9,1901-04-01
1901,5,22.9,1901-05-01
1901,6,74.2,1901-06-01
1901,7,90.8,1901-07-01
1901,8,92.6,1901-08-01
1901,9,136.6,1901-09-01
1901,10,127.2,1901-10-01
1901,11,24.3,1901-11-01
1901,12,165.6,1901-12-01
1902,1,49.2,1902-01-01
1902,2,150.5,1902-02-01
1902,3,61.8,1902-03-01
1902,4,88.9,1902-04-01
1902,5,107.9,1902-05-01
1902,6,108.2,1902-06-01
1902,7,4.1,1902-07-01
1902,8,15.3,1902-08-01
1902,9,21.3,1902-09-01
1902,10,111.5,1902-10-01
1902,11,96.6,1902-11-01
1902,12,22.8,1902-12-01
1903,1,41.1,1903-01-01
1903,2,16.8,1903-02-01
1903,3,58.4,1903-03-01
1903,4,59.5,1903-04-01
1903,5,61.6,1903-05-01
1903,6,137.6,1903-06-01
1903,7,37.8,1903-07-01
1903,8,4.0,1903-08-01
1903,9,95.3,1903-09-01
1903,10,90.8,1903-10-01
1903,11,101.4,1903-11-01
1903,12,151.2,1903-12-01
1904,1,45.0,1904-01-01
1904,2,107.6,1904-02-01
1904,3,83.6,1904-03-01
1904,4,43.2,1904-04-01
1904,5,28.5,1904-05-01
1904,6,152.5,1904-06-01
1904,7,1.8,1904-07-01
1904,8,159.7,1904-08-01
