year	month	rainfall
1980	Jun	144.2
1980	Jul	13.4
1980	Aug	131.8
1980	Sep	39.4
1980	Oct	504.0
1980	Nov	243.2
1980	Dec	87.4
1981	Jan	15.8
1981	Feb	31.8
1981	Mar 	114.4
1981	Apr	47.1
1981	May	85.6
1981	Jun	18.0
1981	Jul	68.0
1981	Aug	43.6
1981	Sep	181.8
1981	Oct	234.2
1981	Nov	24.4
1981	Dec	337.0
1982	Jan	178.6
1982	Feb	27.8
1982	Mar 	
1982	Apr	24.6
1982	May	157.2
1982	Jun	19.8
1982	Jul	86.8
1982	Aug	60.0
1982	Sep	110.4
1982	Oct	476.4
1982	Nov	306.0
1982	Dec	176.2
1983	Jan	51.2
1983	Feb	124.2
1983	Mar 	248.0
1983	Apr	150.0
1983	May	56.8
1983	Jun	61.2
1983	Jul	3.8
1983	Aug	78.2
1983	Sep	40.4
1983	Oct	92.2
1983	Nov	21.8
1983	Dec	397.2
1984	Jan	121.2
1984	Feb	110.8
1984	Mar 	114.4
1984	Apr	138.4
1984	May	262.2
1984	Jun	113.6
1984	Jul	5.2
1984	Aug	215.6
1984	Sep	189.4
1984	Oct	165.8
1984	Nov	175.6
1984	Dec	131.8
1985	Jan	235.4
1985	Feb	79.4
1985	Mar 	267.8
1985	Apr	14.8
1985	May	137.0
1985	Jun	81.4
1985	Jul	
1985	Aug	
1985	Sep	
1985	Oct	
1985	Nov	111.0
1985	Dec	
1986	Jan	256.0
1986	Feb	323.2
1986	Mar 	124.7
1986	Apr	154.2
1986	May	6.0
1986	Jun	43.0
1986	Jul	69.0
1986	Aug	15.0
1986	Sep	53.0
1986	Oct	63.0
1986	Nov	182.6
1986	Dec	66.8
1987	Jan	135.0
1987	Feb	225.0
1987	Mar 	56.8
1987	Apr	151.4
1987	May	77.0
1987	Jun	
1987	Jul	20.2
1987	Aug	
1987	Sep	42.6
1987	Oct	249.2
1987	Nov	155.4
1987	Dec	
1988	Jan	252.2
1988	Feb	157.8
1988	Mar 	52.2
1988	Apr	131.8
1988	May	156.6
1988	Jun	55.4
1988	Jul	20.4
1988	Aug	25.8
1988	Sep	
1988	Oct	
1988	Nov	
1988	Dec	21.4
1989	Jan	2.6
1989	Feb	168.6
1989	Mar 	74.2
1989	Apr	297.8
1989	May	34.6
1989	Jun	52.6
1989	Jul	7.6
1989	Aug	68.0
1989	Sep	46.6
1989	Oct	45.8
1989	Nov	234.0
1989	Dec	112.6
1990	Jan	126.4
1990	Feb	52.2
1990	Mar 	11.8
1990	Apr	223.2
1990	May	60.0
1990	Jun	39.6
1990	Jul	19.6
1990	Aug	63.4
1990	Sep	106.8
1990	Oct	329.0
1990	Nov	179.4
1990	Dec	0.0
1991	Jan	
1991	Feb	113.2
1991	Mar 	107.4
1991	Apr	36.4
1991	May	131.4
1991	Jun	85.2
1991	Jul	35.4
1991	Aug	6.4
1991	Sep	39.6
1991	Oct	248.4
1991	Nov	212.0
1991	Dec	12.2
1992	Jan	69.0
1992	Feb	99.2
1992	Mar 	51.0
1992	Apr	176.4
1992	May	12.2
1992	Jun	192.0
1992	Jul	105.8
1992	Aug	154.8
1992	Sep	123.4
1992	Oct	443.6
1992	Nov	116.2
1992	Dec	218.8
1993	Jan	20.0
1993	Feb	7.0
1993	Mar 	56.8
1993	Apr	131.0
1993	May	57.8
1993	Jun	58.6
1993	Jul	51.4
1993	Aug	58.6
1993	Sep	308.6
1993	Oct	291.2
1993	Nov	145.0
1993	Dec	102.8
1994	Jan	199.2
1994	Feb	86.4
1994	Mar 	14.8
1994	Apr	209.2
1994	May	128.8
1994	Jun	63.6
1994	Jul	18.2
1994	Aug	19.2
1994	Sep	262.4
1994	Oct	142.4
1994	Nov	287.6
1994	Dec	136.0
1995	Jan	142.6
1995	Feb	169.6
1995	Mar 	56.4
