year	month	rainfall
2008	Feb	72.6
2008	Mar 	99.6
2008	Apr	172.4
2008	May	59.0
2008	Jun	92.8
2008	Jul	9.2
2008	Aug	0.0
2008	Sep	33.8
2008	Oct	161.0
2008	Nov	349.6
2008	Dec	266.0
2009	Jan	283.0
2009	Feb	144.8
2009	Mar 	275.0
2009	Apr	105.6
2009	May	16.4
2009	Jun	60.2
2009	Jul	35.4
2009	Aug	29.0
2009	Sep	112.2
2009	Oct	85.2
2009	Nov	119.0
2009	Dec	422.8
2010	Jan	141.2
2010	Feb	156.6
2010	Mar 	55.0
2010	Apr	62.0
2010	May	243.6
2010	Jun	160.2
2010	Jul	134.4
2010	Aug	114.6
2010	Sep	176.6
2010	Oct	183.4
2010	Nov	469.4
2010	Dec	372.2
2011	Jan	132.4
2011	Feb	141.2
2011	Mar 	154.6
2011	Apr	22.6
2011	May	10.4
2011	Jun	84.8
2011	Jul	56.6
2011	Aug	1.2
2011	Sep	97.6
2011	Oct	95
2011	Nov	110.8
2011	Dec	120.6
2012	Jan	40.8
2012	Feb	64.8
2012	Mar 	48.8
2012	Apr	230.2
2012	May	70
2012	Jun	26.4
2012	Jul	1.8
2012	Aug	10
2012	Sep	59.6
2012	Oct	263.2
2012	Nov	355.8
2012	Dec	156.4
2013	Jan	222.8
2013	Feb	122.4
2013	Mar 	476.8
2013	Apr	157.6
2013	May	194.2
2013	Jun	27.8
2013	Jul	40
2013	Aug	48
2013	Sep	102.4
2013	Oct	136.8
2013	Nov	160.2
2013	Dec	146.6
2014	Jan	565
2014	Feb	269.6
2014	Mar 	74.6
2014	Apr	58.4
2014	May	43
2014	Jun	61
2014	Jul	160
2014	Aug	44.6
2014	Sep	46.8
2014	Oct	109.8
2014	Nov	435
2014	Dec	92.8
2015	Jan	117.4
2015	Feb	123
2015	Mar 	58
2015	Apr	81
2015	May	42
2015	Jun	64.6
2015	Jul	39.6
2015	Aug	216.2
2015	Sep	30.2
2015	Oct	296
2015	Nov	11
2015	Dec	16
2016	Jan	220.4
2016	Feb	284.8
2016	Mar 	49.4
2016	Apr	61.4
2016	May	80.4
2016	Jun	203.4
2016	Jul	0.4
2016	Aug	74.2
2016	Sep	48.6
2016	Oct	133.4
2016	Nov	182.6
2016	Dec	9.6
2017	Jan	56.8
2017	Feb	147.6
2017	Mar 	58
2017	Apr	44.2
2017	May	77.4
2017	Jun	64
2017	Jul	1
2017	Aug	9
2017	Sep	120
2017	Oct	6.4
2017	Nov	101.4
2017	Dec	359.8
2017	Jan	46
2018	Feb	98.6
2018	Mar 	253.8
2018	Apr	151.6
2018	May	62.4
2018	Jun	21.8
2018	Jul	15
2018	Aug	32.8
2018	Sep	45.4
2018	Oct	116.8
2018	Nov	175.6
2018	Dec	71.6
2019	Jan	49.6
2019	Feb	108.6
2019	Mar 	49.4
2019	Apr	182
2019	May	177.8
2019	Jun	7.4
2019	Jul	107.2
2019	Aug	48.8
2019	Sep	100
2019	Oct	256.4
2019	Nov	287.2
2019	Dec	216.2
2020	Jan	73.2
2020	Feb	76.2
2020	Mar 	137.6
2020	Apr	37.8
2020	May	57.8
2020	Jun	83.2
2020	Jul	46.8
2020	Aug	127.6
2020	Sep	70.2
2020	Oct	184.6
2020	Nov	26.2
2020	Dec	367.8
2021	Jan	288.2
