year	month	rainfall
1963	Jul	43.0
1963	Aug	177.9
1963	Sep	147.5
1963	Oct	101.7
1963	Nov	308.3
1963	Dec	129.4
1964	Jan	50.8
1964	Feb	325.2
1964	Mar 	217.9
1964	Apr	251.6
1964	May	58.4
1964	Jun	53.6
1964	Jul	78.8
1964	Aug	44.8
1964	Sep	25.0
1964	Oct	462.9
1964	Nov	98.1
1964	Dec	236.0
1965	Jan	227.8
1965	Feb	12.0
1965	Mar 	278.1
1965	Apr	44.8
1965	May	78.5
1965	Jun	72.7
1965	Jul	1.2
1965	Aug	114.1
1965	Sep	281.2
1965	Oct	55.2
1965	Nov	207.0
1965	Dec	326.0
1966	Jan	157.7
1966	Feb	173.6
1966	Mar 	18.4
1966	Apr	196.6
1966	May	51.5
1966	Jun	53.4
1966	Jul	38.5
1966	Aug	65.6
1966	Sep	86.8
1966	Oct	588.8
1966	Nov	335.8
1966	Dec	157.0
1967	Jan	183.2
1967	Feb	102.8
1967	Mar 	94.2
1967	Apr	65.2
1967	May	54.4
1967	Jun	98.2
1967	Jul	11.2
1967	Aug	71.8
1967	Sep	134.7
1967	Oct	41.0
1967	Nov	236.0
1967	Dec	162.2
1968	Jan	70.0
1968	Feb	526.4
1968	Mar 	72.8
1968	Apr	86.3
1968	May	102.1
1968	Jun	48.8
1968	Jul	52.8
1968	Aug	120.2
1968	Sep	134.8
1968	Oct	494.2
1968	Nov	310.3
1968	Dec	138.9
1969	Jan	237.2
1969	Feb	210.8
1969	Mar 	148.5
1969	Apr	119.4
1969	May	71.3
1969	Jun	40.3
1969	Jul	13.4
1969	Aug	32.8
1969	Sep	246.7
1969	Oct	4.2
1969	Nov	126.1
1969	Dec	35.4
1970	Jan	392.7
1970	Feb	31.6
1970	Mar 	213.8
1970	Apr	27.6
1970	May	108.5
1970	Jun	22.6
1970	Jul	15.6
1970	Aug	73.0
1970	Sep	2.6
1970	Oct	42.8
1970	Nov	208.0
1970	Dec	127.5
1971	Jan	305.8
1971	Feb	103.0
1971	Mar 	189.0
1971	Apr	145.3
1971	May	211.5
1971	Jun	76.0
1971	Jul	8.6
1971	Aug	15.0
1971	Sep	99.5
1971	Oct	20.9
1971	Nov	217.0
1971	Dec	84.4
1972	Jan	205.2
1972	Feb	278.9
1972	Mar 	140.2
1972	Apr	78.3
1972	May	92.4
1972	Jun	95.3
1972	Jul	18.4
1972	Aug	22.6
1972	Sep	189.2
1972	Oct	163.2
1972	Nov	140.9
1972	Dec	262.3
1973	Jan	163.2
1973	Feb	98.9
1973	Mar 	72.4
1973	Apr	79.6
