time_regular,rainfall_regular,rainfall_no_ss,rainfall_no_ss_1std
1906-04-01,89.7,-5.13983739837397,-69.66823631420195
1906-05-01,36.6,-47.860887096774256,-111.52654970371489
1906-06-01,12.9,-38.53729508196722,-94.7201521172821
1906-07-01,167.1,137.61951219512196,106.65010975389096
1906-08-01,0.0,-51.11178861788618,-100.01922943758714
1906-09-01,20.7,-69.11818181818181,-152.1356782315512
1906-10-01,165.9,19.944628099173542,-93.74660770747012
1906-11-01,298.9,175.3351239669421,65.38583388158551
1906-12-01,15.9,-69.25583333333338,-149.11718354505274
1907-01-01,28.8,-41.92229508196715,-112.95575647415576
1907-02-01,20.1,-45.63617886178866,-110.61945009895749
1907-03-01,0.4,-85.63196721311478,-160.05999193057716
1907-04-01,169.5,74.66016260162603,10.131763685798049
1907-05-01,79.5,-4.9608870967742575,-68.62654970371489
1907-06-01,18.2,-33.23729508196722,-89.4201521172821
1907-07-01,6.8,-22.680487804878048,-53.649890246109045
1907-08-01,2.7,-48.411788617886174,-97.31922943758714
1907-09-01,173.3,83.4818181818182,0.4643217684488121
1907-10-01,643.6,497.6446280991736,383.95339229252994
1907-11-01,114.1,-9.464876033057891,-119.41416611841447
1907-12-01,142.5,57.34416666666661,-22.517183545052745
1908-01-01,,,
1908-02-01,,,
1908-03-01,87.7,1.6680327868852203,-72.75999193057714
1908-04-01,31.1,-63.73983739837397,-128.26823631420194
1908-05-01,59.5,-24.960887096774258,-88.62654970371489
1908-06-01,42.2,-9.237295081967218,-65.4201521172821
1908-07-01,70.9,41.41951219512195,10.450109753890956
1908-08-01,3.0,-48.11178861788618,-97.01922943758714
1908-09-01,64.2,-25.61818181818181,-108.6356782315512
1908-10-01,102.6,-43.35537190082647,-157.04660770747012
1908-11-01,36.0,-87.56487603305789,-197.51416611841447
1908-12-01,64.7,-20.455833333333388,-100.31718354505274
1909-01-01,26.1,-44.622295081967145,-115.65575647415577
1909-02-01,33.9,-31.83617886178866,-96.8194500989575
1909-03-01,11.9,-74.13196721311478,-148.55999193057716
1909-04-01,7.1,-87.73983739837398,-152.26823631420194
1909-05-01,70.4,-14.060887096774252,-77.72654970371488
1909-06-01,46.2,-5.237295081967218,-61.42015211728209
1909-07-01,4.6,-24.88048780487805,-55.84989024610905
1909-08-01,113.1,61.98821138211382,13.080770562412852
1909-09-01,166.1,76.28181818181818,-6.735678231551205
1909-10-01,119.1,-26.85537190082647,-140.54660770747012
1909-11-01,33.0,-90.56487603305789,-200.51416611841447
1909-12-01,60.7,-24.455833333333388,-104.31718354505274
1910-01-01,40.2,-30.522295081967144,-101.55575647415576
1910-02-01,60.6,-5.1361788617886575,-70.11945009895749
1910-03-01,200.4,114.36803278688522,39.94000806942286
1910-04-01,183.0,88.16016260162603,23.63176368579805
1910-05-01,29.4,-55.06088709677426,-118.7265497037149
1910-06-01,87.8,36.362704918032776,-19.8201521172821
1910-07-01,11.9,-17.580487804878047,-48.549890246109044
1910-08-01,122.2,71.08821138211383,22.18077056241286
1910-09-01,52.8,-37.018181818181816,-120.0356782315512
1910-10-01,99.8,-46.15537190082647,-159.84660770747013
1910-11-01,119.5,-4.064876033057885,-114.01416611841447
1910-12-01,480.9,395.7441666666666,315.88281645494726
1911-01-01,33.2,-37.522295081967144,-108.55575647415576
1911-02-01,19.7,-46.036178861788656,-111.01945009895749
1911-03-01,122.6,36.56803278688521,-37.85999193057715
1911-04-01,35.7,-59.13983739837397,-123.66823631420195
1911-05-01,71.0,-13.460887096774258,-77.12654970371489
1911-06-01,100.0,48.56270491803278,-7.620152117282096
1911-07-01,18.9,-10.58048780487805,-41.549890246109044
1911-08-01,23.2,-27.911788617886177,-76.81922943758714
1911-09-01,167.1,77.28181818181818,-5.735678231551205
1911-10-01,360.0,214.04462809917354,100.35339229252988
1911-11-01,281.1,157.53512396694214,47.58583388158556
1911-12-01,117.3,32.14416666666661,-47.71718354505275
1912-01-01,122.5,51.77770491803285,-19.25575647415576
1912-02-01,175.6,109.86382113821134,44.8805499010425
1912-03-01,142.1,56.06803278688521,-18.359991930577152
1912-04-01,105.0,10.160162601626027,-54.36823631420195
1912-05-01,132.7,48.23911290322573,-15.426549703714905
1912-06-01,15.0,-36.43729508196722,-92.62015211728209
1912-07-01,8.2,-21.28048780487805,-52.24989024610905
1912-08-01,22.8,-28.311788617886176,-77.21922943758715
1912-09-01,,,
1912-10-01,,,
1912-11-01,,,
1912-12-01,,,
1913-01-01,,,
1913-02-01,,,
1913-03-01,,,
1913-04-01,,,
1913-05-01,10.0,-74.46088709677426,-138.1265497037149
1913-06-01,59.4,7.962704918032777,-48.2201521172821
1913-07-01,13.5,-15.980487804878049,-46.94989024610905
1913-08-01,,,
1913-09-01,,,
1913-10-01,,,
1913-11-01,,,
1913-12-01,,,
1914-01-01,,,
1914-02-01,,,
1914-03-01,,,
1914-04-01,,,
1914-05-01,,,
1914-06-01,,,
1914-07-01,,,
1914-08-01,,,
1914-09-01,,,
1914-10-01,,,
1914-11-01,,,
1914-12-01,,,
1915-01-01,,,
1915-02-01,,,
1915-03-01,,,
1915-04-01,,,
1915-05-01,,,
1915-06-01,,,
1915-07-01,,,
1915-08-01,,,
1915-09-01,,,
1915-10-01,,,
1915-11-01,,,
1915-12-01,,,
1916-01-01,,,
1916-02-01,,,
1916-03-01,,,
1916-04-01,,,
1916-05-01,,,
1916-06-01,,,
1916-07-01,,,
1916-08-01,,,
1916-09-01,,,
1916-10-01,,,
1916-11-01,,,
1916-12-01,,,
1917-01-01,,,
1917-02-01,,,
1917-03-01,,,
1917-04-01,,,
1917-05-01,,,
1917-06-01,,,
1917-07-01,,,
1917-08-01,,,
1917-09-01,,,
1917-10-01,,,
1917-11-01,,,
1917-12-01,,,
1918-01-01,,,
1918-02-01,,,
1918-03-01,,,
1918-04-01,,,
1918-05-01,,,
1918-06-01,,,
1918-07-01,,,
1918-08-01,,,
1918-09-01,,,
1918-10-01,,,
1918-11-01,,,
1918-12-01,,,
1919-01-01,,,
1919-02-01,,,
1919-03-01,,,
1919-04-01,,,
1919-05-01,,,
1919-06-01,,,
1919-07-01,,,
1919-08-01,,,
1919-09-01,,,
1919-10-01,,,
1919-11-01,,,
1919-12-01,,,
1920-01-01,,,
1920-02-01,,,
1920-03-01,,,
1920-04-01,,,
1920-05-01,,,
1920-06-01,,,
1920-07-01,,,
1920-08-01,,,
1920-09-01,,,
1920-10-01,,,
1920-11-01,,,
1920-12-01,,,
1921-01-01,,,
1921-02-01,,,
1921-03-01,,,
1921-04-01,,,
1921-05-01,,,
1921-06-01,,,
1921-07-01,,,
1921-08-01,,,
1921-09-01,,,
1921-10-01,,,
1921-11-01,,,
1921-12-01,,,
1922-01-01,,,
1922-02-01,,,
1922-03-01,,,
1922-04-01,,,
1922-05-01,,,
1922-06-01,,,
1922-07-01,,,
1922-08-01,,,
1922-09-01,,,
1922-10-01,,,
1922-11-01,,,
1922-12-01,,,
1923-01-01,,,
1923-02-01,,,
1923-03-01,,,
1923-04-01,,,
1923-05-01,,,
1923-06-01,,,
1923-07-01,,,
1923-08-01,,,
1923-09-01,,,
1923-10-01,,,
1923-11-01,,,
1923-12-01,,,
1924-01-01,,,
1924-02-01,,,
1924-03-01,,,
1924-04-01,,,
1924-05-01,,,
1924-06-01,,,
1924-07-01,,,
1924-08-01,,,
1924-09-01,,,
1924-10-01,,,
1924-11-01,,,
1924-12-01,,,
1925-01-01,,,
1925-02-01,,,
1925-03-01,,,
1925-04-01,,,
1925-05-01,,,
1925-06-01,,,
1925-07-01,,,
1925-08-01,,,
1925-09-01,,,
1925-10-01,,,
1925-11-01,,,
1925-12-01,,,
1926-01-01,,,
1926-02-01,,,
1926-03-01,,,
1926-04-01,,,
1926-05-01,,,
1926-06-01,,,
1926-07-01,,,
1926-08-01,,,
1926-09-01,,,
1926-10-01,,,
1926-11-01,,,
1926-12-01,,,
1927-01-01,,,
1927-02-01,,,
1927-03-01,,,
1927-04-01,,,
1927-05-01,,,
1927-06-01,,,
1927-07-01,,,
1927-08-01,,,
1927-09-01,,,
1927-10-01,,,
1927-11-01,,,
1927-12-01,,,
1928-01-01,,,
1928-02-01,,,
1928-03-01,,,
1928-04-01,,,
1928-05-01,,,
1928-06-01,,,
1928-07-01,,,
1928-08-01,,,
1928-09-01,,,
1928-10-01,,,
1928-11-01,,,
1928-12-01,,,
1929-01-01,,,
1929-02-01,,,
1929-03-01,,,
1929-04-01,,,
1929-05-01,,,
1929-06-01,,,
1929-07-01,,,
1929-08-01,,,
1929-09-01,,,
1929-10-01,,,
1929-11-01,,,
1929-12-01,,,
1930-01-01,,,
1930-02-01,,,
1930-03-01,,,
1930-04-01,,,
1930-05-01,,,
1930-06-01,,,
1930-07-01,,,
1930-08-01,,,
1930-09-01,,,
1930-10-01,,,
1930-11-01,,,
1930-12-01,,,
1931-01-01,,,
1931-02-01,,,
1931-03-01,,,
1931-04-01,,,
1931-05-01,,,
1931-06-01,,,
1931-07-01,,,
1931-08-01,,,
1931-09-01,,,
1931-10-01,,,
1931-11-01,,,
1931-12-01,,,
1932-01-01,,,
1932-02-01,,,
1932-03-01,,,
1932-04-01,,,
1932-05-01,,,
1932-06-01,,,
1932-07-01,,,
1932-08-01,,,
1932-09-01,,,
1932-10-01,,,
1932-11-01,,,
1932-12-01,,,
1933-01-01,,,
1933-02-01,,,
1933-03-01,,,
1933-04-01,,,
1933-05-01,,,
1933-06-01,,,
1933-07-01,,,
1933-08-01,,,
1933-09-01,,,
1933-10-01,,,
1933-11-01,,,
1933-12-01,,,
1934-01-01,,,
1934-02-01,,,
1934-03-01,,,
1934-04-01,,,
1934-05-01,,,
1934-06-01,,,
1934-07-01,,,
1934-08-01,,,
1934-09-01,,,
1934-10-01,,,
1934-11-01,,,
1934-12-01,,,
1935-01-01,50.5,-20.222295081967147,-91.25575647415576
1935-02-01,60.4,-5.33617886178866,-70.3194500989575
1935-03-01,12.6,-73.43196721311479,-147.85999193057717
1935-04-01,37.8,-57.039837398373976,-121.56823631420195
1935-05-01,98.0,13.539112903225742,-50.12654970371489
1935-06-01,4.6,-46.83729508196722,-103.0201521172821
1935-07-01,22.8,-6.680487804878048,-37.649890246109045
1935-08-01,249.9,198.78821138211384,149.88077056241286
1935-09-01,16.4,-73.41818181818181,-156.4356782315512
1935-10-01,326.6,180.64462809917356,66.9533922925299
1935-11-01,209.8,86.23512396694213,-23.714166118414454
1935-12-01,228.0,142.8441666666666,62.982816454947255
1936-01-01,297.6,226.87770491803286,155.84424352584426
1936-02-01,117.0,51.26382113821134,-13.719450098957495
1936-03-01,210.8,124.76803278688523,50.340008069422865
1936-04-01,145.8,50.96016260162604,-13.56823631420194
1936-05-01,101.4,16.939112903225748,-46.72654970371489
1936-06-01,101.6,50.16270491803277,-6.020152117282102
1936-07-01,98.4,68.91951219512195,37.950109753890956
1936-08-01,17.4,-33.71178861788618,-82.61922943758714
1936-09-01,194.0,104.18181818181819,21.1643217684488
1936-10-01,30.6,-115.35537190082647,-229.04660770747012
1936-11-01,144.0,20.435123966942115,-89.51416611841447
1936-12-01,56.8,-28.355833333333393,-108.21718354505275
1937-01-01,117.8,47.07770491803285,-23.955756474155763
1937-02-01,61.8,-3.9361788617886617,-68.9194500989575
1937-03-01,301.0,214.9680327868852,140.54000806942284
1937-04-01,159.8,64.96016260162604,0.43176368579806024
1937-05-01,62.2,-22.260887096774255,-85.9265497037149
1937-06-01,78.6,27.162704918032773,-29.0201521172821
1937-07-01,18.2,-11.28048780487805,-42.24989024610905
1937-08-01,24.6,-26.511788617886175,-75.41922943758715
1937-09-01,109.7,19.88181818181819,-63.135678231551196
1937-10-01,211.2,65.24462809917353,-48.446607707470136
1937-11-01,125.3,1.735123966942112,-108.21416611841447
1937-12-01,84.7,-0.4558333333333877,-80.31718354505274
1938-01-01,3.2,-67.52229508196714,-138.55575647415577
1938-02-01,11.3,-54.43617886178866,-119.4194500989575
1938-03-01,0.1,-85.93196721311479,-160.35999193057717
1938-04-01,12.2,-82.63983739837397,-147.16823631420195
1938-05-01,131.9,47.43911290322575,-16.226549703714888
1938-06-01,37.6,-13.83729508196722,-70.0201521172821
1938-07-01,8.4,-21.080487804878047,-52.049890246109044
1938-08-01,54.6,3.4882113821138248,-45.41922943758714
1938-09-01,358.6,268.7818181818182,185.76432176844884
1938-10-01,108.0,-37.955371900826464,-151.64660770747014
1938-11-01,131.2,7.635123966942103,-102.31416611841448
1938-12-01,48.0,-37.15583333333339,-117.01718354505275
1939-01-01,112.0,41.27770491803285,-29.75575647415576
1939-02-01,87.2,21.463821138211344,-43.51945009895749
1939-03-01,0.4,-85.63196721311478,-160.05999193057716
1939-04-01,62.4,-32.439837398373975,-96.96823631420196
1939-05-01,104.8,20.33911290322574,-43.326549703714896
1939-06-01,25.6,-25.83729508196722,-82.0201521172821
1939-07-01,0.6,-28.880487804878047,-59.84989024610904
1939-08-01,77.4,26.28821138211383,-22.619229437587137
1939-09-01,81.4,-8.418181818181807,-91.4356782315512
1939-10-01,81.8,-64.15537190082647,-177.84660770747013
1939-11-01,58.6,-64.96487603305789,-174.91416611841447
1939-12-01,63.4,-21.755833333333392,-101.61718354505274
1940-01-01,14.4,-56.32229508196715,-127.35575647415575
1940-02-01,41.8,-23.93617886178866,-88.9194500989575
1940-03-01,41.6,-44.43196721311478,-118.85999193057714
1940-04-01,20.4,-74.43983739837398,-138.96823631420196
1940-05-01,188.6,104.13911290322574,40.4734502962851
1940-06-01,83.0,31.56270491803278,-24.620152117282096
1940-07-01,10.8,-18.680487804878048,-49.649890246109045
1940-08-01,88.4,37.28821138211383,-11.619229437587137
1940-09-01,88.0,-1.818181818181813,-84.8356782315512
1940-10-01,83.2,-62.75537190082646,-176.44660770747012
1940-11-01,109.3,-14.264876033057888,-124.21416611841447
1940-12-01,1.8,-83.3558333333334,-163.21718354505276
1941-01-01,117.8,47.07770491803285,-23.955756474155763
1941-02-01,168.0,102.26382113821134,37.280549901042505
1941-03-01,75.6,-10.431967213114788,-84.85999193057715
1941-04-01,191.1,96.26016260162602,31.731763685798043
1941-05-01,159.6,75.13911290322574,11.473450296285101
1941-06-01,61.1,9.66270491803278,-46.520152117282095
1941-07-01,51.8,22.31951219512195,-8.649890246109049
1941-08-01,6.4,-44.71178861788618,-93.61922943758714
1941-09-01,64.5,-25.318181818181813,-108.3356782315512
1941-10-01,27.4,-118.55537190082646,-232.2466077074701
1941-11-01,119.3,-4.264876033057888,-114.21416611841447
1941-12-01,0.0,-85.15583333333339,-165.01718354505275
1942-01-01,10.7,-60.022295081967144,-131.05575647415577
1942-02-01,49.2,-16.536178861788656,-81.51945009895749
1942-03-01,45.7,-40.33196721311478,-114.75999193057714
1942-04-01,91.3,-3.539837398373976,-68.06823631420195
1942-05-01,139.7,55.23911290322573,-8.426549703714905
1942-06-01,39.2,-12.237295081967218,-68.4201521172821
1942-07-01,29.4,-0.08048780487805018,-31.049890246109047
1942-08-01,112.1,60.98821138211382,12.080770562412852
1942-09-01,118.9,29.081818181818193,-53.935678231551194
1942-10-01,,,
1942-11-01,,,
1942-12-01,,,
1943-01-01,60.6,-10.122295081967145,-81.15575647415577
1943-02-01,26.6,-39.13617886178866,-104.11945009895749
1943-03-01,85.8,-0.2319672131147854,-74.65999193057715
1943-04-01,98.0,3.160162601626027,-61.36823631420195
1943-05-01,111.4,26.939112903225748,-36.72654970371489
1943-06-01,4.8,-46.637295081967224,-102.8201521172821
1943-07-01,24.6,-4.880487804878047,-35.84989024610904
1943-08-01,36.0,-15.111788617886177,-64.01922943758714
1943-09-01,63.2,-26.61818181818181,-109.6356782315512
1943-10-01,158.6,12.64462809917353,-101.04660770747013
1943-11-01,60.2,-63.36487603305788,-173.31416611841445
1943-12-01,148.2,63.0441666666666,-16.817183545052757
1944-01-01,0.0,-70.72229508196715,-141.75575647415576
1944-02-01,23.9,-41.83617886178866,-106.8194500989575
1944-03-01,,,
1944-04-01,,,
1944-05-01,,,
1944-06-01,,,
1944-07-01,22.8,-6.680487804878048,-37.649890246109045
1944-08-01,42.4,-8.711788617886178,-57.619229437587144
1944-09-01,93.0,3.181818181818187,-79.8356782315512
1944-10-01,289.0,143.04462809917354,29.353392292529875
1944-11-01,17.6,-105.96487603305789,-215.91416611841447
1944-12-01,21.4,-63.75583333333339,-143.61718354505274
1945-01-01,11.2,-59.522295081967144,-130.55575647415577
1945-02-01,1.4,-64.33617886178865,-129.31945009895747
1945-03-01,42.6,-43.43196721311478,-117.85999193057714
1945-04-01,25.8,-69.03983739837398,-133.56823631420195
1945-05-01,0.4,-84.06088709677425,-147.72654970371488
1945-06-01,0.0,-51.43729508196722,-107.62015211728209
1945-07-01,3.2,-26.28048780487805,-57.24989024610905
1945-08-01,138.4,87.28821138211383,38.38077056241286
1945-09-01,13.6,-76.21818181818182,-159.23567823155122
1945-10-01,205.8,59.84462809917355,-53.84660770747011
1945-11-01,158.4,34.83512396694212,-75.11416611841446
1945-12-01,253.6,168.4441666666666,88.58281645494725
1946-01-01,19.0,-51.72229508196715,-122.75575647415576
1946-02-01,8.8,-56.93617886178866,-121.9194500989575
1946-03-01,,,
1946-04-01,91.2,-3.6398373983739702,-68.16823631420195
1946-05-01,127.4,42.93911290322575,-20.726549703714888
1946-06-01,12.2,-39.23729508196722,-95.4201521172821
1946-07-01,27.6,-1.8804878048780473,-32.84989024610904
1946-08-01,104.0,52.88821138211382,3.9807705624128573
1946-09-01,54.4,-35.418181818181814,-118.43567823155121
1946-10-01,46.8,-99.15537190082647,-212.84660770747013
1946-11-01,77.2,-46.36487603305788,-156.31416611841445
1946-12-01,20.6,-64.5558333333334,-144.41718354505275
1947-01-01,57.8,-12.92229508196715,-83.95575647415576
1947-02-01,68.2,2.463821138211344,-62.51945009895749
1947-03-01,79.4,-6.631967213114777,-81.05999193057714
1947-04-01,34.8,-60.039837398373976,-124.56823631420195
1947-05-01,66.6,-17.860887096774263,-81.52654970371489
1947-06-01,7.8,-43.637295081967224,-99.8201521172821
1947-07-01,7.8,-21.680487804878048,-52.649890246109045
1947-08-01,10.8,-40.31178861788618,-89.21922943758715
1947-09-01,216.4,126.58181818181819,43.564321768448806
1947-10-01,140.2,-5.755371900826475,-119.44660770747014
1947-11-01,66.6,-56.96487603305789,-166.91416611841447
1947-12-01,123.8,38.64416666666661,-41.21718354505275
1948-01-01,118.4,47.67770491803286,-23.355756474155754
1948-02-01,10.0,-55.73617886178866,-120.7194500989575
1948-03-01,17.6,-68.43196721311477,-142.85999193057714
1948-04-01,97.2,2.3601626016260298,-62.16823631420195
1948-05-01,167.1,82.63911290322574,18.9734502962851
1948-06-01,2.0,-49.43729508196722,-105.62015211728209
1948-07-01,34.8,5.319512195121948,-25.64989024610905
1948-08-01,57.0,5.888211382113823,-43.01922943758714
1948-09-01,112.4,22.581818181818193,-60.435678231551194
1948-10-01,149.2,3.244628099173525,-110.44660770747014
1948-11-01,2.6,-120.96487603305789,-230.91416611841447
1948-12-01,38.2,-46.95583333333339,-126.81718354505274
1949-01-01,166.0,95.27770491803285,24.24424352584424
1949-02-01,16.6,-49.13617886178866,-114.11945009895749
1949-03-01,23.4,-62.631967213114784,-137.05999193057716
1949-04-01,84.4,-10.439837398373967,-74.96823631420195
1949-05-01,112.2,27.739112903225745,-35.92654970371489
1949-06-01,36.4,-15.037295081967223,-71.2201521172821
1949-07-01,34.2,4.719512195121954,-26.249890246109043
1949-08-01,0.0,-51.11178861788618,-100.01922943758714
1949-09-01,12.6,-77.21818181818182,-160.23567823155122
1949-10-01,28.4,-117.55537190082646,-231.2466077074701
